"Parameter","Value"
"Workload source","MIMIC-IV-ED demo-informed synthetic trace / stress-test schedule"
"Scheduled arrivals per run","300 patients"
"Priority mix","67 critical (22.3%), 233 normal (77.7%)"
"Base arrival window","20 min at multiplier 1.00"
"Arrival time multipliers","2.00, 1.50, 1.25, 1.00 (lower value = denser arrivals)"
"Assessment resources","30 cubicles total: 15 right, 15 left"
"Triage/contact duration","2-5 min, mean 206.23 s"
"Run stopping rule","Until all scheduled patients reached home"
"Simulation acceleration","Time.timeScale = 10"
